street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,Point,40.79962,-73.96523,False
"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,Point,40.72778,-73.94472,True
"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,Point,-22.92638234778768,-43.18015675229857,True
"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,-22.971950988341874,-43.205047082633435,True
"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.54548,-73.54949,False
"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28158,114.15027,True
"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.40082,2.16942,True
"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,Point,40.69791,-73.93615,True
"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,Point,40.98585,29.03133,True
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.51889,-73.59111,True
"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,-22.966253551739655,-43.23074991429229,True
"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.984339360067814,-43.190849194463404,False
"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52233,-73.57383,True
"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.30469,114.17158,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.1413,-8.61308,False
"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,Point,21.28634,-157.83919,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.15225,-8.61123,False
"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,-23.00035792660916,-43.4311123147628,False
"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,-33.88029,151.21554,True
"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,Point,-33.87603,151.21346,False
"Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,Point,41.0062,28.98009,False
"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03777,28.95825,False
"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,Point,40.74577,-74.00074,True
"Rozelle, NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,Point,-33.86296,151.17956,True
"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,Point,40.7664,-73.95854,False
"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,41.04841,28.98713,False
"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,22.3314,114.1669,True
"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,41.04772,28.98818,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.1543,-8.60867,False
"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,Point,-22.930541460367934,-43.1825954762751,False
"New York, NY, United States",Manhattan,Lower East Side,New York,United States,US,Point,40.72063,-73.98944,False
"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,Point,41.3596,-8.75383,False
"Queens, NY, United States",Queens,Jackson Heights,New York,United States,US,Point,40.74953,-73.88025,True
"Queens, NY, United States",Queens,Briarwood,New York,United States,US,Point,40.71485,-73.82257,True
"Kailua-Kona, HI, United States",Kailua/Kona,North Kona,The Big Island,United States,US,Point,19.5702,-155.96445,True
"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,Point,40.71552,-73.93869,True
"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28422,114.15007,True
"Hong Kong, New Territories, Hong Kong",,Islands,Hong Kong,Hong Kong,HK,Point,22.27671,113.92823,False
"Narrabeen, NSW, Australia",,Warringah,Sydney,Australia,AU,Point,-33.71472,151.29792,True
"Istanbul, İstanbul, Turkey",,Sariyer,Istanbul,Turkey,TR,Point,41.12452,29.03693,False
"Montreal, QC, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52028,-73.58774,True
"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.31655,114.17034,True
