street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
New York,Manhattan,Upper West Side,New York,United States,US,Point,40.79962,-73.96523,False
Brooklyn,Greenpoint,Greenpoint,New York,United States,US,Point,40.72778,-73.94472,True
Rio de Janeiro,Catete,Catete,Rio De Janeiro,Brazil,BR,Point,-22.92638234778768,-43.18015675229857,True
Rio de Janeiro,Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,-22.971950988341877,-43.20504708263344,True
Montréal,Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,45.54548,-73.54949,False
Hong Kong,Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28158,114.15027,True
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.40082,2.16942,True
Brooklyn,Brooklyn,Bushwick,New York,United States,US,Point,40.69791,-73.93615,True
Kadıköy,Moda,Kadikoy,Istanbul,Turkey,TR,Point,40.98585,29.03133,True
Montréal,Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.51889,-73.59111,True
Rio de Janeiro,Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,-22.96625355173965,-43.23074991429229,True
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.98433936006781,-43.19084919446341,False
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52233,-73.57383,True
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.30469,114.17158,True
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.1413,-8.61308,False
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,Point,21.28634,-157.83919,True
Porto,Porto,Cedofeita,Porto,Portugal,PT,Point,41.15225,-8.61123,False
Rio de Janeiro,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,-23.00035792660916,-43.4311123147628,False
Surry Hills,Darlinghurst,Sydney,Sydney,Australia,AU,Point,-33.88029,151.21554,True
